MSOA code,restaurant_density,avg_restaurant_rating,total_income,household_cluster
E02003524,0.0,4.003896103896104,37300.0,2
E02003525,2.0,3.774522292993631,37700.0,2
E02003526,0.0,4.0,53700.0,2
E02003527,1.0,4.230625,47800.0,2
E02003529,0.0,4.0,51600.0,2
E02003530,0.0,4.260645161290323,44100.0,0
E02003531,1.0,4.320754716981132,46800.0,0
E02003532,2.0,4.384799999999999,48900.0,0
E02003533,0.0,4.451818181818182,43400.0,2
E02003534,5.0,4.578181818181818,49300.0,0
E02003535,0.0,4.510852713178294,44800.0,0
E02003536,1.0,4.342307692307693,31000.0,1
E02003537,0.0,4.735849056603773,44800.0,0
E02003538,2.0,4.227218934911242,43500.0,0
E02003540,0.0,4.4547169811320755,44200.0,0
E02003541,3.0,4.66180904522613,32000.0,1
E02003542,0.0,4.422580645161291,46100.0,0
E02003543,7.0,4.485714285714286,46200.0,0
E02003544,0.0,4.4,50900.0,0
E02003545,13.0,4.631868131868132,45000.0,1
E02003546,0.0,4.407643312101911,51800.0,1
E02003547,28.0,4.4877358490566035,46300.0,1
E02003548,3.0,4.6022727272727275,52300.0,1
E02006821,0.0,4.0,54000.0,2
